#{"t_start": 1760091914.9956167, "env_id": "None"}
r,l,t
-392.98325,5000,2676.189899
-441.33502,5000,2678.000518
244.27762,5000,2679.889313
-318.38315,5000,2679.99744
-354.61945,5000,2688.827073
-532.4638,5000,2690.699945
-922.204,5000,2692.514916
-325.10217,5000,2692.761166
-110.41636,5000,2701.13268
-121.684,5000,2702.844365
-491.0933,5000,2704.620622
-97.82708,5000,2704.738291
-813.4897,5000,2713.158538
-166.25595,5000,2714.970206
-238.6768,5000,2716.85196
-197.79652,5000,2716.946427
-31.69313,704,2718.983824
-568.1283,5000,2725.827188
-599.259,5000,2727.536252
-252.38037,5000,2729.397034
-379.70966,5000,2731.253151
-346.94803,5000,2738.405159
-131.70148,5000,2740.17688
-245.84517,5000,2742.003458
-474.36453,5000,2743.844288
-303.19812,5000,2751.208948
-169.9056,5000,2752.980083
-308.42273,5000,2754.884004
-169.53534,5000,2769.871661
-461.15115,5000,2776.378773
-70.65465,5000,2778.38264
-441.5446,5000,2780.297342
-275.10016,5000,2782.228011
-794.9555,5000,2788.892261
-198.26666,5000,2790.704824
-416.92218,5000,2792.520115
-174.76906,5000,2794.357372
-464.70963,5000,2801.126771
-381.44672,5000,2802.831791
-676.18475,5000,2804.620461
-457.0892,5000,2806.389667
-175.78061,5000,2813.535553
-770.2342,5000,2815.191703
-285.54248,5000,2816.95084
-124.85109,5000,2818.916375
-600.7718,1624,2821.178773
-520.12085,5000,2825.792228
-167.07625,5000,2827.520321
-287.09668,5000,2831.167275
-142.9207,5000,2833.127561
-107.225975,5000,2837.934718
-243.8529,5000,2839.913351
-505.1435,5000,2843.568308
-130.1773,5000,2845.721048
-336.07632,5000,2850.247647
-119.471855,5000,2851.984253
-665.9109,5000,2855.82878
-187.5413,5000,2857.901215
-636.732,5000,2862.585382
-364.33914,5000,2864.154702
-148.23116,5000,2867.844264
184.54419,5000,2871.343849
-130.73257,5000,2876.674888
-268.61472,5000,2878.436659
-289.28638,5000,2882.228536
-94.89,5000,2884.276904
-321.5824,5000,2888.791738
99.53012,5000,2890.307761
487.95316,5000,2893.90944
-257.3502,5000,2896.017464
262.20377,5000,2900.93151
-122.587265,5000,2902.768173
612.77246,5000,2906.433241
-311.1312,5000,2908.478624
637.2139,5000,2913.237006
-462.27707,5000,2915.190273
399.61444,5000,2918.711263
219.00273,5000,2920.982552
663.5958,5000,2925.634129
-75.92264,5000,2927.385986
-502.5822,5000,2931.802238
-245.08649,5000,2933.937295
-12.913477,5000,2938.645932
382.57144,5000,2940.478091
515.0409,5000,2944.812695
431.06964,5000,2946.99332
412.6217,5000,2951.433346
280.33698,5000,2953.157181
-92.05873,5000,2956.811845
485.28574,5000,2958.979721
452.60034,5000,2964.036065
-330.01923,5000,2965.835441
-274.309,5000,2969.567672
215.95671,5000,2971.599573
377.39124,5000,2976.451582
-231.08057,5000,2978.197424
-718.5787,5000,2981.824995
424.21518,5000,2983.808476
209.59865,5000,2988.453249
184.20152,5000,2990.61007
-61.094185,5000,2994.350544
-416.98087,5000,2996.321286
339.50104,5000,3000.862749
-308.22565,5000,3002.66456
-941.0346,5000,3006.428949
-465.29263,5000,3008.560229
-72.52797,5000,3013.117478
488.40485,5000,3014.836055
560.48773,5000,3018.453389
205.19695,5000,3020.974336
261.5553,5000,3025.8333
261.78107,5000,3027.742996
-199.13066,5000,3031.449443
-295.33905,5000,3033.672719
520.8659,5000,3038.545159
-240.13065,5000,3040.272818
-571.65784,5000,3043.90276
280.21625,5000,3045.945928
513.93713,5000,3050.956173
-576.32245,5000,3052.538422
36.6487,5000,3056.115153
-435.62286,5000,3058.270215
562.90027,5000,3062.883202
659.29205,5000,3064.72334
-168.71313,5000,3068.532292
-285.02872,5000,3070.57407
-167.3322,5000,3075.155701
428.7935,5000,3076.715193
-157.04741,5000,3080.798241
-448.9463,5000,3083.040555
22.767109,5000,3087.633632
-68.02028,5000,3089.354306
-66.48599,5000,3092.993286
711.03845,5000,3095.16882
-223.99243,5000,3100.010763
-858.91095,5000,3101.717218
-245.96864,5000,3105.218572
-343.78857,5000,3107.397725
-454.90076,5000,3112.271832
-461.62247,5000,3114.0226
-638.20624,5000,3117.824168
-148.08772,5000,3119.874896
-341.7645,5000,3124.484018
-216.12216,5000,3126.330104
-141.4564,5000,3129.740442
-56.365486,5000,3131.860512
