#{"t_start": 1770881564.9366617, "env_id": "None"}
r,l,t
-11.111384,16,67.02348
-142.72371,556,67.091516
-214.8532,714,67.129078
-90.93506,148,67.267745
-1087.1818,1499,67.449061
-145.23062,445,67.533815
-166.77599,311,67.640543
-76.30791,480,68.01862
-74.22951,321,68.020932
-487.2304,856,68.045173
-23.630348,72,68.1062
-113.771255,167,68.247216
-462.75742,1352,68.41883
-225.4045,481,68.685534
-342.16006,1399,68.806293
-538.6662,2662,68.811713
-130.80104,240,68.973536
-142.29489,302,69.340671
-337.33774,1057,69.527841
-590.2919,1359,69.663544
-135.06409,725,69.688656
-39.762585,152,69.872262
-149.66875,1950,69.881975
-718.7052,2721,69.937056
-66.638794,131,70.030483
-261.15387,1645,70.400888
-68.95419,269,70.723295
-277.27368,831,70.87967
-299.05087,1184,71.084368
-798.7898,1620,71.295222
-89.44374,184,71.314191
-304.9633,613,71.470477
-1941.871,2282,71.564743
-100.798744,244,71.609437
-107.79471,386,71.767921
-55.78218,171,71.821033
-172.82074,241,71.859615
-111.34369,423,71.984134
-16.483006,47,72.040989
-105.4962,188,72.045591
-620.1882,1834,72.246838
-430.9463,1134,72.256113
-113.40696,146,72.428061
-80.90609,240,72.531512
-118.825035,461,72.590637
-8.954337,45,72.643258
-918.2547,2372,72.79347
-239.12654,958,72.914963
-142.84668,408,72.919011
-188.25583,285,72.989745
-97.73,282,73.256086
-1611.4199,3136,73.304259
-325.4793,646,73.308782
-155.0125,282,73.328344
-59.039196,100,73.376813
-58.584473,173,73.586123
-8.143366,9,73.599432
-24.400917,118,73.740806
-327.30264,660,74.105514
-110.8245,460,74.294502
-13.152675,56,74.369457
-41.394104,75,74.460699
-392.95547,1274,74.464724
-207.14935,400,74.591178
-6.3656445,4,74.596341
-68.74321,214,74.715945
-1461.234,2390,74.735754
-1333.1683,2253,74.759172
-38.53317,163,74.933207
-81.19521,540,75.105118
-38.768692,288,75.105944
-295.01825,493,75.30751
-618.80646,881,75.647238
-531.00574,655,75.715777
-6.4555516,6,75.722058
-132.28288,383,75.764362
-249.24957,575,75.791837
-1388.9513,2285,76.074508
-177.14287,305,76.086261
-90.83225,392,76.259469
-85.7673,207,76.323306
-26.012123,59,76.329309
-19.380524,47,76.386091
-103.68189,266,76.404704
-297.17377,3077,76.495234
-95.073494,663,76.556449
-88.6984,148,76.581498
-56.45939,187,76.71964
-137.26994,330,76.719691
-42.296623,169,76.75993
-71.91621,224,76.850441
-793.4579,2988,76.898794
-180.39368,439,76.913953
-810.842,1630,77.05549
-161.20135,408,77.210934
-107.19378,164,77.253738
-275.9318,454,77.264999
-45.019062,434,77.282752
-48.474823,68,77.335673
-139.3364,162,77.403636
-61.960476,124,77.482933
-511.69302,1536,77.48765
-12.144782,19,77.504475
-30.35108,63,77.580685
-295.80887,566,77.59215
-134.10445,399,77.744679
-5.9429255,4,77.749588
-105.97763,403,77.765644
-354.89578,765,77.7714
-83.726776,207,77.831143
-42.79563,89,77.873303
-161.95377,341,78.000945
-56.43502,184,78.09217
-137.37503,690,78.230142
-264.99643,633,78.245229
-218.63574,426,78.336132
-132.78357,279,78.421825
-216.43376,760,78.680349
-147.83098,310,78.713174
-288.6055,396,78.722688
-48.391685,99,78.801763
-217.69579,682,78.820374
-184.0956,927,78.861694
-169.47908,230,79.137949
-49.54325,72,79.229142
-44.621292,106,79.357262
-224.55484,552,79.391793
-5.5642514,3,79.396384
-384.65546,724,79.591563
-199.23134,1018,79.659405
-754.41113,2336,79.712072
-107.49468,331,79.75661
-497.58972,1317,79.823022
-185.50912,237,79.950328
-85.80106,201,79.961239
